Time,Close,Open,High,Low,Body,UpperWick,LowerWick,Range,C1,H1,L1,B1,C2,H2,L2,B2,C3,H3,L3,B3,C4,H4,L4,B4,C5,H5,L5,B5,EMA9,EMA21,EMA50,EMA200,FastSlope,SlopeAccel,TrendUp,TrendDown,DistEMA200,Mom,ADX,ATR,BBWidth,Vol,VolSMA,VolNorm,VolPressure,LocalHigh10,LocalLow10,DistLocalHigh10,DistLocalLow10,SweepUp,SweepDown,IsTradeBar,IsLong,IsShort,BarsSinceEntry
2026-02-16 09:51:00,6901.0,6899.75,6901.0,6899.75,1.25,0.0,0.0,1.25,6899.75,6899.75,6897.75,0.75,6899.0,6899.75,6897.0,1.25,6898.25,6898.75,6895.0,3.25,6895.0,6896.5,6894.5,-0.5,6895.75,6896.0,6892.5,2.0,6897.94780691743,6897.99324926746,6900.80531953104,6905.66593519566,2.01849653182489,0.121737932339784,0,1,-18.6637407826493,6.25,32.5276640284159,2.26009060902138,7.97496081495046,313,434.25,0.720782959124928,0.720782959124928,6901.0,6892.5,0,34,0,0,0,0,0,0
2026-02-16 09:52:00,6902.5,6901.25,6903.0,6900.5,1.25,0.5,0.75,2.5,6901.0,6901.0,6899.75,1.25,6899.75,6899.75,6897.75,0.75,6899.0,6899.75,6897.0,1.25,6898.25,6898.75,6895.0,3.25,6895.0,6896.5,6894.5,-0.5,6898.85824553395,6898.40295387951,6900.87177758865,6905.63443335292,2.31479722545919,0.147390345870917,0,0,-12.5377334116783,8.0,31.6127190845848,2.27722699409128,9.59934893625541,564,433.45,1.30118814165417,1.30118814165417,6903.0,6892.5,-2,40,0,0,0,0,0,0
2026-02-16 09:53:00,6903.0,6902.5,6903.0,6901.25,0.5,0.0,1.25,1.75,6902.5,6903.0,6900.5,1.25,6901.0,6901.0,6899.75,1.25,6899.75,6899.75,6897.75,0.75,6899.0,6899.75,6897.0,1.25,6898.25,6898.75,6895.0,3.25,6899.68659642716,6898.82086716319,6900.95523729106,6905.60822008573,2.50183778036808,-0.0820877233018109,0,0,-10.4328803429053,9.0,30.7631273510274,2.23956792308476,11.1016890606788,253,422.55,0.598745710566797,0.598745710566797,6903.0,6892.5,0,42,0,0,0,0,0,0
2026-02-16 09:54:00,6900.5,6902.75,6902.75,6899.75,-2.25,0.0,0.75,3.0,6903.0,6903.0,6901.25,0.5,6902.5,6903.0,6900.5,1.25,6901.0,6901.0,6899.75,1.25,6899.75,6899.75,6897.75,0.75,6899.0,6899.75,6897.0,1.25,6899.84927714173,6898.9735156029,6900.93738484827,6905.55739202517,1.90147022429483,-0.665670178642358,0,0,-20.2295681006872,6.0,28.9928378344419,2.31174164286442,11.3634281799114,376,412.15,0.912289215091593,-0.912289215091593,6903.0,6892.5,-10,32,0,0,0,0,0,0
2026-02-16 09:55:00,6901.0,6900.5,6901.5,6900.0,0.5,0.5,0.5,1.5,6900.5,6902.75,6899.75,-2.25,6903.0,6903.0,6901.25,0.5,6902.5,6903.0,6900.5,1.25,6901.0,6901.0,6899.75,1.25,6899.75,6899.75,6897.75,0.75,6900.07942171338,6899.15774145718,6900.93984034442,6905.51204484084,1.22117617943604,0.0674638570853858,0,0,-18.0481793633699,5.0,27.3489975690412,2.25376009694553,11.8444079632536,215,391.7,0.548889456216492,0.548889456216492,6903.0,6892.5,-8,34,0,0,0,0,0,0
2026-02-16 09:56:00,6900.25,6901.0,6901.25,6899.25,-0.75,0.25,1.0,2.0,6901.0,6901.5,6900.0,0.5,6900.5,6902.75,6899.75,-2.25,6903.0,6903.0,6901.25,0.5,6902.5,6903.0,6900.5,1.25,6901.0,6901.0,6899.75,1.25,6900.11353737071,6899.25703768835,6900.91278778189,6905.45968618571,0.426940943548288,-0.196028914330782,0,0,-20.8387447428431,4.25,25.4407623306974,2.23563437573514,11.9620232402376,349,384.5,0.907672301690507,-0.907672301690507,6903.0,6894.5,-11,23,0,0,0,0,0,0
2026-02-16 09:57:00,6896.0,6900.5,6900.5,6895.0,-4.5,0.0,1.0,5.5,6900.25,6901.25,6899.25,-0.75,6901.0,6901.5,6900.0,0.5,6900.5,6902.75,6899.75,-2.25,6903.0,6903.0,6901.25,0.5,6902.5,6903.0,6900.5,1.25,6899.29082989656,6898.96094335304,6900.7201294375,6905.36555995501,-0.558447245161915,-0.856823131464807,0,0,-37.4622398200299,0.5,25.6261512700773,2.46880334889691,11.7782638788576,565,398.35,1.41835069662357,-1.41835069662357,6903.0,6895.0,-28,4,0,0,0,0,0,0
2026-02-16 09:58:00,6894.5,6895.75,6896.25,6894.25,-1.25,0.5,0.25,2.0,6896.0,6900.5,6895.0,-4.5,6900.25,6901.25,6899.25,-0.75,6901.0,6901.5,6900.0,0.5,6900.5,6902.75,6899.75,-2.25,6903.0,6903.0,6901.25,0.5,6898.33266391725,6898.55540304822,6900.47620279289,6905.25744493058,-1.74675779612971,-0.13545850517221,0,1,-43.0297797223211,-1.25,26.0542801815671,2.43531739540428,11.7782638788576,313,399.35,0.783773632152247,-0.783773632152247,6903.0,6894.25,-34,1,0,0,0,0,0,0
2026-02-16 09:59:00,6895.25,6894.25,6895.75,6893.25,1.0,0.5,1.0,2.5,6894.5,6896.25,6894.25,-1.25,6896.0,6900.5,6895.0,-4.5,6900.25,6901.25,6899.25,-0.75,6901.0,6901.5,6900.0,0.5,6900.5,6902.75,6899.75,-2.25,6897.7161311338,6898.25491186202,6900.27125366376,6905.15786836411,-2.39740623690341,0.341633195863324,0,1,-39.6314734564294,1.75,26.7777802274608,2.43993758144683,11.5212846505929,441,401.15,1.09933939922722,1.09933939922722,6903.0,6893.25,-31,8,0,0,0,0,0,0
2026-02-16 10:00:00,6893.5,6895.0,6895.5,6893.5,-1.5,0.5,0.0,2.0,6895.25,6895.75,6893.25,1.0,6894.5,6896.25,6894.25,-1.25,6896.0,6900.5,6895.0,-4.5,6900.25,6901.25,6899.25,-0.75,6901.0,6901.5,6900.0,0.5,6896.87290490704,6897.82264714729,6900.0057143044,6905.04186967392,-2.41792498952327,-0.226693443310978,0,1,-46.1674786956683,-2.25,27.4496016986477,2.40851346848634,11.7703016104097,349,407.35,0.856757088498834,-0.856757088498834,6903.0,6893.25,-38,1,0,0,0,0,0,0
2026-02-16 10:01:00,6893.0,6893.75,6894.25,6892.5,-0.75,0.5,0.5,1.75,6893.5,6895.5,6893.5,-1.5,6895.25,6895.75,6893.25,1.0,6894.5,6896.25,6894.25,-1.25,6896.0,6900.5,6895.0,-4.5,6900.25,6901.25,6899.25,-0.75,6896.09832392563,6897.38422467936,6899.73098041011,6904.92205007517,-2.23433999161807,0.0686452453528545,0,1,-47.6882003006867,-2.0,28.4008913887255,2.36147679216589,12.37174199537,503,406.85,1.23632788496989,-1.23632788496989,6903.0,6892.5,-40,2,0,0,0,0,0,0
